id,label,attr_1,attr_2
1,product-1,214,265
2,product-2,31,48
3,product-3,14,198
4,product-4,124,89
5,product-5,205,199
6,product-6,151,66
7,product-7,69,184
8,product-8,151,27
9,product-9,101,148
10,product-10,147,48
11,product-11,159,114
12,product-12,45,186
13,product-13,40,140
14,product-14,200,49
15,product-15,238,102
16,product-16,225,91
17,product-17,91,132
18,product-18,26,193
19,product-19,90,69
20,product-20,224,144
21,product-21,86,201
22,product-22,138,113
23,product-23,161,159
24,product-24,121,83
25,product-25,61,43
26,product-26,232,99
27,product-27,183,87
28,product-28,100,62
29,product-29,115,187
30,product-30,214,68
31,product-31,171,165
32,product-32,100,104
33,product-33,156,38
34,product-34,55,195
35,product-35,117,210
36,product-36,118,129
37,product-37,56,145
38,product-38,149,57
39,product-39,221,195
40,product-40,172,206
41,product-41,61,106
42,product-42,205,140
43,product-43,84,45
44,product-44,210,115
45,product-45,87,90
46,product-46,155,164
47,product-47,93,234
48,product-48,194,50
49,product-49,131,135
50,product-50,180,20
51,product-51,38,171
52,product-52,107,156
53,product-53,40,103
54,product-54,94,188
55,product-55,60,173
56,product-56,87,167
57,product-57,179,95
58,product-58,218,175
59,product-59,189,160
60,product-60,188,141
61,product-61,166,33
62,product-62,156,69
63,product-63,211,119
64,product-64,85,129
65,product-65,190,87
66,product-66,132,154
67,product-67,99,194
68,product-68,94,147
69,product-69,114,67
70,product-70,109,131
71,product-71,32,78
72,product-72,174,128
73,product-73,108,70
74,product-74,176,38
75,product-75,160,160
76,product-76,80,174
77,product-77,175,127
78,product-78,59,58
79,product-79,181,65
80,product-80,20,60
81,product-81,253,204
82,product-82,257,105
83,product-83,167,34
84,product-84,84,138
85,product-85,120,152
86,product-86,62,20
87,product-87,133,27
88,product-88,79,48
89,product-89,51,143
90,product-90,173,105
91,product-91,50,201
92,product-92,69,200
93,product-93,165,121
94,product-94,129,19
95,product-95,98,23
96,product-96,216,169
97,product-97,134,193
98,product-98,110,32
99,product-99,101,91
100,product-100,130,101
101,product-101,195,201
102,product-102,91,157
103,product-103,112,183
104,product-104,35,83
105,product-105,93,188
106,product-106,63,32
107,product-107,210,203
108,product-108,158,102
109,product-109,132,132
110,product-110,37,78
111,product-111,89,84
112,product-112,105,70
113,product-113,103,220
114,product-114,38,153
115,product-115,64,168
116,product-116,253,126
117,product-117,54,167
118,product-118,16,224
119,product-119,124,13
120,product-120,150,16
121,product-121,185,39
122,product-122,151,40
123,product-123,177,73
124,product-124,102,98
125,product-125,171,204
126,product-126,192,104
127,product-127,206,28
128,product-128,181,105
129,product-129,71,86
130,product-130,198,133
131,product-131,79,62
132,product-132,110,201
133,product-133,147,101
134,product-134,266,80
135,product-135,31,243
136,product-136,145,177
137,product-137,8,183
138,product-138,107,112
139,product-139,229,61
140,product-140,68,77
141,product-141,212,52
142,product-142,194,215
143,product-143,172,250
144,product-144,215,76
145,product-145,177,186
146,product-146,77,238
147,product-147,58,105
148,product-148,172,44
149,product-149,91,137
150,product-150,43,158
151,product-151,58,143
152,product-152,188,106
153,product-153,111,125
154,product-154,27,26
155,product-155,177,215
156,product-156,82,137
157,product-157,169,230
158,product-158,159,56
159,product-159,38,208
160,product-160,97,57
161,product-161,113,39
162,product-162,16,140
163,product-163,86,85
164,product-164,151,43
165,product-165,116,125
166,product-166,63,120
167,product-167,75,7
168,product-168,78,138
169,product-169,215,151
170,product-170,119,96
171,product-171,203,165
172,product-172,190,136
173,product-173,98,107
174,product-174,153,3
175,product-175,177,180
176,product-176,176,56
177,product-177,200,120
178,product-178,112,103
179,product-179,86,158
180,product-180,49,84
181,product-181,61,60
182,product-182,109,73
183,product-183,157,56
184,product-184,198,122
185,product-185,119,89
186,product-186,155,35
187,product-187,63,145
188,product-188,180,75
189,product-189,75,64
190,product-190,157,14
191,product-191,86,27
192,product-192,128,201
193,product-193,138,41
194,product-194,105,136
195,product-195,223,141
196,product-196,112,74
197,product-197,142,83
198,product-198,172,213
199,product-199,136,123
200,product-200,230,99
201,product-201,195,97
202,product-202,177,198
203,product-203,115,103
204,product-204,57,36
205,product-205,28,44
206,product-206,61,91
207,product-207,126,31
208,product-208,122,216
209,product-209,171,171
210,product-210,219,74
211,product-211,36,37
212,product-212,67,137
213,product-213,143,190
214,product-214,41,90
215,product-215,191,71
216,product-216,94,126
217,product-217,139,136
218,product-218,78,92
219,product-219,23,122
220,product-220,36,82
221,product-221,176,230
222,product-222,144,55
223,product-223,139,60
224,product-224,151,180
225,product-225,122,176
226,product-226,149,35
227,product-227,99,52
228,product-228,78,169
229,product-229,196,67
230,product-230,126,223
231,product-231,141,209
232,product-232,54,119
233,product-233,44,118
234,product-234,93,97
235,product-235,6,45
236,product-236,43,63
237,product-237,37,92
238,product-238,80,185
239,product-239,107,132
240,product-240,199,127
241,product-241,140,60
242,product-242,16,30
243,product-243,150,80
244,product-244,214,194
245,product-245,142,93
246,product-246,77,167
247,product-247,57,182
248,product-248,86,136
249,product-249,177,130
250,product-250,91,25
251,product-251,20,226
252,product-252,173,60
253,product-253,51,28
254,product-254,106,44
255,product-255,161,184
256,product-256,41,91
257,product-257,205,66
258,product-258,214,222
259,product-259,152,158
260,product-260,188,173
261,product-261,42,179
262,product-262,122,188
263,product-263,74,166
264,product-264,13,91
265,product-265,157,79
266,product-266,188,48
267,product-267,84,230
268,product-268,139,30
269,product-269,231,21
270,product-270,120,77
271,product-271,212,82
272,product-272,74,51
273,product-273,208,47
274,product-274,70,41
275,product-275,206,196
276,product-276,9,108
277,product-277,182,75
278,product-278,110,170
279,product-279,141,98
280,product-280,176,78
281,product-281,219,220
282,product-282,150,204
283,product-283,209,48
284,product-284,94,88
285,product-285,201,39
286,product-286,140,96
287,product-287,79,148
288,product-288,35,180
289,product-289,178,180
290,product-290,182,25
291,product-291,163,156
292,product-292,26,165
293,product-293,149,65
294,product-294,211,216
295,product-295,145,172
296,product-296,63,127
297,product-297,80,67
298,product-298,91,55
299,product-299,118,171
300,product-300,43,202
301,product-301,144,22
302,product-302,171,68
303,product-303,179,7
304,product-304,75,143
305,product-305,107,53
306,product-306,109,63
307,product-307,165,105
308,product-308,53,96
309,product-309,17,116
310,product-310,145,126
311,product-311,99,135
312,product-312,184,175
313,product-313,37,58
314,product-314,48,180
315,product-315,131,208
316,product-316,167,152
317,product-317,85,197
318,product-318,133,104
319,product-319,49,95
320,product-320,56,140
321,product-321,68,37
